source_snapshot,source_region,source_position,game_name,tag_line,platform,routing
opgg_kayle_2026_09_26,na,1,Saneryus,TTV,na1,americas
opgg_kayle_2026_09_26,euw,1,混kayle,9967,euw1,europe
opgg_kayle_2026_09_26,kr,1,예비군11,KR2,kr,asia
opgg_kayle_2026_09_26,eune,1,Trushkov,atg,eun1,europe
opgg_kayle_2026_09_26,br,1,kayle eslunfra,tudo,br1,americas
opgg_kayle_2026_09_26,na,2,bear,34753,na1,americas
opgg_kayle_2026_09_26,euw,2,bladee,bnsov,euw1,europe
opgg_kayle_2026_09_26,kr,2,中國天使,謝夜矢,kr,asia
opgg_kayle_2026_09_26,eune,2,kuuki,meow,eun1,europe
opgg_kayle_2026_09_26,br,2,Shukrute,BR1,br1,americas
opgg_kayle_2026_09_26,na,3,Holy Tetra 33 十,Isho,na1,americas
opgg_kayle_2026_09_26,euw,3,SenseyMaster123,EUW2,euw1,europe
opgg_kayle_2026_09_26,kr,3,어제먹은갈비찜,어먹갈,kr,asia
opgg_kayle_2026_09_26,eune,3,hi guys im dzeba,hello,eun1,europe
opgg_kayle_2026_09_26,br,3,Sr yally,BR1,br1,americas
opgg_kayle_2026_09_26,na,4,Kayzoq,NA1,na1,americas
opgg_kayle_2026_09_26,euw,4,EloSlingshot,STUCK,euw1,europe
opgg_kayle_2026_09_26,kr,4,외쳐갓케일,KR1,kr,asia
opgg_kayle_2026_09_26,eune,4,Roeven,42069,eun1,europe
opgg_kayle_2026_09_26,br,4,Flames,Fênix,br1,americas
opgg_kayle_2026_09_26,na,5,Saneryus,TWTCH,na1,americas
opgg_kayle_2026_09_26,euw,5,funnelingthepain,1585,euw1,europe
opgg_kayle_2026_09_26,kr,5,협곡에사는호랑이,KR1,kr,asia
opgg_kayle_2026_09_26,eune,5,cyniCK,Kayle,eun1,europe
opgg_kayle_2026_09_26,br,5,fdzfdgh,br1,br1,americas
opgg_kayle_2026_09_26,na,6,Stepmommy Kayle,3636,na1,americas
opgg_kayle_2026_09_26,euw,6,New president,EUW11,euw1,europe
opgg_kayle_2026_09_26,kr,6,유 자,차 차,kr,asia
opgg_kayle_2026_09_26,eune,6,Gruby,SIGMA,eun1,europe
opgg_kayle_2026_09_26,br,6,creamseth,musha,br1,americas
opgg_kayle_2026_09_26,na,7,Perplexii,4239,na1,americas
opgg_kayle_2026_09_26,euw,7,Astarlight,EUW,euw1,europe
opgg_kayle_2026_09_26,kr,7,좋아해임마,KR2,kr,asia
opgg_kayle_2026_09_26,eune,7,Shrief,shefo,eun1,europe
opgg_kayle_2026_09_26,br,7,Portuga,Br2,br1,americas
opgg_kayle_2026_09_26,na,8,Killer qm,NA1,na1,americas
opgg_kayle_2026_09_26,euw,8,AMPA Tetull,esp,euw1,europe
opgg_kayle_2026_09_26,kr,8,김동앵,KR1,kr,asia
opgg_kayle_2026_09_26,eune,8,Tryndamere,Top22,eun1,europe
